district_id,province_id,name_en,name_ne,headquarters_en,headquarters_ne,local_level_count
1,1,Bhojpur,भोजपुर,Bhojpur,भोजपुर,9
2,1,Dhankuta,धनकुटा,Dhankuta,धनकुटा,7
3,1,Ilam,इलाम,Ilam,ईलाम,10
4,1,Jhapa,झापा,Bhadrapur,झापा,15
5,1,Khotang,खोटाँग,Diktel,खोटांग,10
6,1,Morang,मोरंग,Biratnagar,मोरंग,17
7,1,Okhaldhunga,ओखलढुंगा,Siddhicharan,सिद्धिचरण,8
8,1,Panchthar,पांचथर,Phidim,फिदिम,8
9,1,Sankhuwasabha,संखुवासभा,Khandbari,खाँदबारी,10
10,1,Solukhumbu,सोलुखुम्बू,Salleri,सल्लेरी,8
11,1,Sunsari,सुनसरी,Inaruwa,इनरुवा,12
12,1,Taplejung,ताप्लेजुंग,Taplejung,ताप्लेजुंग,9
13,1,Terhathum,तेह्रथुम,Myanglung,म्यांगलुङ्ग,6
14,1,Udayapur,उदयपुर,Gaighat,गाईघाट,8
15,2,Parsa,पर्सा,Birgunj,विरगंज,14
16,2,Bara,बारा,Kalaiya,कलैया,16
17,2,Rautahat,रौतहट,Gaur,गौर,18
18,2,Sarlahi,सर्लाही,Malangawa,मलंगवा,20
19,2,Siraha,सिराहा,Siraha,सिरहा,17
20,2,Dhanusha,धनुषा,Janakpur,जनकपुर,18
21,2,Saptari,सप्तरी,Rajbiraj,राजविराज,18
22,2,Mahottari,महोत्तरी,Jaleshwar,जलेश्वर,15
23,3,Bhaktapur,भक्तपुर,Bhaktapur,भक्तपुर,4
24,3,Chitwan,चितवन,Bharatpur,भरतपुर,7
25,3,Dhading,धादिंङ्ग,Nilkantha,निलकण्ठ,13
26,3,Dolakha,दोलखा,Bhimeshwar,भिमेश्वर,9
27,3,Kathmandu,काठमाडौँ,Kathmandu,काठमाडौँ,11
28,3,Kavrepalanchok,काभ्रेपलान्चोक,Dhulikhel,धुलिखेल,13
29,3,Lalitpur,ललितपुर,Lalitpur,ललितपुर,6
30,3,Makwanpur,मकवानपुर,Hetauda,हेटौडा,10
31,3,Nuwakot,नुवाकोट,Bidur,बिदुर,12
32,3,Ramechhap,रामेछाप,Manthali,मन्थली,8
33,3,Rasuwa,रसुवा,Dhunche,धुन्चे,5
34,3,Sindhuli,सिन्धुली,Kamalamai,कमलामाई,9
35,3,Sindhupalchok,सिन्धुपाल्चोक,Chautara,चौतारा,12
36,4,Baglung,बागलुङ,Baglung,बाग्लुंग,10
37,4,Gorkha,गोरखा,Gorkha,गोर्खा,11
38,4,Kaski,कास्की,Pokhara,पोखरा,5
39,4,Lamjung,लमजुङ,Besisahar,बेशीसहर,8
40,4,Manang,मनाङ,Chame,चामे,4
41,4,Mustang,मुस्ताङ,Jomsom,जोमसोम,5
42,4,Myagdi,म्याग्दी,Beni,बेनी,6
43,4,Nawalpur,नवलपुर,Kawasoti,कावासोती,8
44,4,Parbat,पर्वत,Kusma,कुस्मा,7
45,4,Syangja,स्याङग्जा,Putalibazar,पुतलीबजार,11
46,4,Tanahun,तनहुँ,Damauli,दमौली,10
47,5,Kapilvastu,कपिलवस्तु,Taulihawa,तौलिहवा,10
48,5,Parasi,परासी,Ramgram,रामग्राम,7
49,5,Rupandehi,रुपन्देही,Siddharthanagar,सिद्धार्थनगर,16
50,5,Arghakhanchi,अर्घाखाँची,Sandhikharka,सन्धिखर्क,6
51,5,Gulmi,गुल्मी,Tamghas,तम्घास,12
52,5,Palpa,पाल्पा,Tansen,तानसेन,10
53,5,Dang,दाङ,Ghorahi,घोराही,10
54,5,Pyuthan,प्युठान,Pyuthan,प्युठान,9
55,5,Rolpa,रोल्पा,Liwang,लिवाङ्ग,10
56,5,Rukum East,पूर्वी रूकुम,Rukumkot,रुकुमकोट,3
57,5,Banke,बाँके,Nepalganj,नेपालगंज,8
58,5,Bardiya,बर्दिया,Gulariya,गुलरिया,8
59,6,Rukum West,रुकुम पश्चिम,Musikot,मुसिकोट,6
60,6,Salyan,सल्यान,Salyan,सल्यान,10
61,6,Dolpa,डोल्पा,Dunai,दुनै,8
62,6,Humla,हुम्ला,Simikot,सिमिकोट,7
63,6,Jumla,जुम्ला,Chandannath,चन्दननाथ,8
64,6,Kalikot,कालिकोट,Manma,मान्म,9
65,6,Mugu,मुगु,Gamgadhi,गमगढी,4
66,6,Surkhet,सुर्खेत,Birendranagar,बिरेन्द्रनगर,9
67,6,Dailekh,दैलेख,Dailekh,दैलेख,11
68,6,Jajarkot,जाजरकोट,Khalanga,खलंगा,7
69,7,Darchula,दार्चुला,Darchula,दार्चुला,9
70,7,Bajhang,बझाङ,Jayaprithvi,जयप्रिथिवी,12
71,7,Bajura,बाजुरा,Badimalika,बडिमालिका,9
72,7,Baitadi,बैतडी,Dasharathchand,दशरथचन्द,10
73,7,Doti,डोटी,Dipayal Silgadhi,दिपायल सिलगढी,9
74,7,Achham,अछाम,Mangalsen,मंगलसेन,10
75,7,Dadeldhura,डडेलधुरा,Amargadhi,अमरगढी,7
76,7,Kanchanpur,कञ्चनपुर,Bheemdatta,भीमदत्त,9
77,7,Kailali,कैलाली,Dhangadhi,धनगढी,13
